,ExperimentName,Parameters,nbCasCovidConnuTotal-repli1,nbCasCovidConnuTotal-repli2,nbCasCovidConnuTotal-repli3,nbCasCovidConnuTotal-Mean,nbCasCovidConnuTotal-Std,nbMortTotal-repli1,nbMortTotal-repli2,nbMortTotal-repli3,nbMortTotal-Mean,nbMortTotal-Std,epidemic_duration-repli1,epidemic_duration-repli2,epidemic_duration-repli3,epidemic_duration-Mean,epidemic_duration-Std,tauxDeMortCasConnu-repli1,tauxDeMortCasConnu-repli2,tauxDeMortCasConnu-repli3,tauxDeMortCasConnu-Mean,tauxDeMortCasConnu-Std,tauxMortalitePopulationGlobale-repli1,tauxMortalitePopulationGlobale-repli2,tauxMortalitePopulationGlobale-repli3,tauxMortalitePopulationGlobale-Mean,tauxMortalitePopulationGlobale-Std,epidemicDuration-repli1,epidemicDuration-repli2,epidemicDuration-repli3,epidemicDuration-Mean,epidemicDuration-Std
11,"[0, 0, 0, 0, 2, 1]-variantVaccin3-variantDpt2","[0, 0, 0, 0, 2, 1]",511.0,674.0,475.0,553.3333333333334,86.58072662101088,5.0,5.0,3.0,4.333333333333333,0.9428090415820634,,,,,,0.9784735812133072,0.741839762611276,0.631578947368421,0.7839640970643348,0.14471769394797415,0.00023090176838428336,0.00023090176838428336,0.00013854106103057003,0.00020011486593304558,4.3539254989997946e-05,23.0,32.0,25.0,26.666666666666668,3.858612300930075
12,"[0, 0, 0, 0, 2, 2]-variantVaccin3-variantDpt3","[0, 0, 0, 0, 2, 2]",1148227.0,1144594.0,1149173.0,1147331.3333333333,1973.7399918823037,9715.0,9781.0,9813.0,9769.666666666666,40.80304999493161,,,,,,0.8460870542148896,0.8545388146364562,0.8539184265554447,0.8515147651355969,0.0038463189954239486,0.44864213597066255,0.45169003931333507,0.45316781063099454,0.45116666197166405,0.0018842992798604181,95.0,83.0,94.0,90.66666666666667,5.436502143433363
13,"[0, 0, 0, 0, 2, 3]-variantVaccin3-variantDpt4","[0, 0, 0, 0, 2, 3]",1934451.0,1933369.0,1933962.0,1933927.3333333333,442.4042897119732,10853.0,10294.0,10631.0,10592.666666666666,229.81490136387782,,,,,,0.5610377311185448,0.532438453290603,0.5497005628859305,0.5477255824316928,0.011758828850865398,0.5011953784549255,0.4753805607495626,0.49094333993866324,0.4891730930477171,0.010612933425195802,37.0,39.0,39.0,38.333333333333336,0.9428090415820634
14,"[0, 0, 0, 0, 2, 4]-variantVaccin3-variantDpt5","[0, 0, 0, 0, 2, 4]",2090389.0,2090673.0,2090322.0,2090461.3333333333,152.14978000495285,6430.0,6309.0,6447.0,6395.333333333333,61.44012442117032,,,,,,0.3075982508518749,0.30176885624868166,0.3084213819689024,0.3059294963564863,0.0029611462632972993,0.2969396741421884,0.29135185134728875,0.29772474015469497,0.295338755214724,0.002837326675719725,25.0,30.0,20.0,25.0,4.08248290463863
15,"[0, 0, 0, 1, 0, 0]-variantVaccin4-variantDpt1","[0, 0, 0, 1, 0, 0]",206.0,231.0,286.0,241.0,33.4165627596057,1.0,2.0,8.0,3.6666666666666665,3.091206165165235,,,,,,0.48543689320388345,0.8658008658008658,2.797202797202797,1.3828135187358488,1.0121073596524992,4.618035367685667e-05,9.236070735371334e-05,0.00036944282941485336,0.0001693279634818078,0.00014275299399541035,33.0,30.0,46.0,36.333333333333336,6.944222218666553
16,"[0, 0, 0, 1, 0, 1]-variantVaccin4-variantDpt2","[0, 0, 0, 1, 0, 1]",985548.0,993806.0,992367.0,990573.6666666666,3601.913781434654,16755.0,16890.0,16790.0,16811.666666666668,57.20334100576838,,,,,,1.7000694030123342,1.6995268694292447,1.691914382481481,1.6971702183076867,0.0037230313228348967,0.7737518258557335,0.7799861736021091,0.7753681382344234,0.7763687125640887,0.0026416705191441886,72.0,68.0,70.0,70.0,1.632993161855452
17,"[0, 0, 0, 1, 0, 2]-variantVaccin4-variantDpt3","[0, 0, 0, 1, 0, 2]",1863216.0,1862746.0,1862497.0,1862819.6666666667,298.1166811091851,32178.0,32176.0,32643.0,32332.333333333332,219.67602407990628,,,,,,1.727013937192467,1.7273423214974022,1.7526471183577745,1.7356677923492148,0.01200694501366193,1.485991420613894,1.4858990599065403,1.5074652850736323,1.4931185885313554,0.010144716486335742,33.0,33.0,33.0,33.0,0.0
18,"[0, 0, 0, 1, 0, 3]-variantVaccin4-variantDpt4","[0, 0, 0, 1, 0, 3]",2062789.0,2062164.0,2062492.0,2062481.6666666667,255.25978052869112,17300.0,17418.0,17292.0,17336.666666666668,57.604012205941196,,,,,,0.8386703632800058,0.844646691533748,0.8384032519883714,0.8405734356007084,0.002882290470275522,0.7989201186096204,0.8043694003434896,0.7985506757802056,0.8006133982444386,0.002660173656876371,18.0,17.0,18.0,17.666666666666668,0.4714045207910317
19,"[0, 0, 0, 1, 0, 4]-variantVaccin4-variantDpt5","[0, 0, 0, 1, 0, 4]",2102421.0,2102209.0,2102276.0,2102302.0,88.47975286282544,15843.0,15521.0,15824.0,15729.333333333334,147.517983837753,,,,,,0.7535598246022086,0.7383185972469911,0.7527080174058972,0.7481954797516991,0.006992662815827037,0.7316353433024402,0.7167652694184924,0.7307579165825799,0.7263861764345041,0.006812432667324238,14.0,15.0,15.0,14.666666666666666,0.4714045207910317
20,"[0, 0, 0, 1, 1, 0]-variantVaccin5-variantDpt1","[0, 0, 0, 1, 1, 0]",130.0,137.0,133.0,133.33333333333334,2.8674417556808756,1.0,1.0,1.0,1.0,0.0,,,,,,0.7692307692307693,0.7299270072992701,0.7518796992481203,0.7503458252593864,0.01608230917399565,4.618035367685667e-05,4.618035367685667e-05,4.618035367685667e-05,4.618035367685667e-05,0.0,11.0,22.0,19.0,17.333333333333332,4.642796092394707
